0: CPU Microbenchmarks:
0: Inter-CPU Microbenchmarks will be run with the following:
0: # Processes per NUMA: 16
0: # Processes per socket: 16
0: # Processes per node: 64
0: # of nodes: 2
0: If these are incorrect, edit the defines at the top of benchmarks/microbenchmarks.cpp
0: intra-socket tests will not be run because there is only one NUMA per socket.  The timings will be gathered in inter-NUMA tests.
0: 
0: 
0: Running standard ping-pongs
0: 
0: On-NUMA Ping-Pong:
0: Size 16384: 3.616524e-06
0: Size 32768: 4.189387e-06
0: Size 65536: 5.377310e-06
0: Size 131072: 7.745586e-06
0: Size 262144: 1.377573e-05
0: Size 524288: 2.978717e-05
0: Size 1048576: 5.962962e-05
0: Size 2097152: 1.279205e-04
0: Size 4194304: 5.263880e-04
0: Size 8388608: 1.518911e-03
0: Size 16777216: 2.404913e-03
0: Size 33554432: 4.359509e-03
0: Size 67108864: 8.330269e-03
0: Size 134217728: 1.644289e-02
0: Size 268435456: 3.242722e-02
0: Size 536870912: 6.432160e-02
0: 
0: Active Procs: 8
0: Rank 0 sending to 8
0: Size 1: 1.581748e-06
0: Size 2: 1.591506e-06
0: Size 4: 1.592676e-06
0: Size 8: 1.593602e-06
0: Size 16: 1.597115e-06
0: Size 32: 1.665310e-06
0: Size 64: 1.754279e-06
0: Size 128: 1.830271e-06
0: Size 256: 2.609908e-06
0: Size 512: 2.985293e-06
0: Size 1024: 2.957210e-06
0: Size 2048: 3.037086e-06
0: Size 4096: 3.167066e-06
0: Size 8192: 3.333842e-06
0: Size 16384: 3.698552e-06
0: Size 32768: 4.345503e-06
0: Size 65536: 5.623027e-06
0: Size 131072: 8.445486e-06
0: Size 262144: 1.523925e-05
0: Size 524288: 3.044390e-05
0: Size 1048576: 1.072490e-04
0: Size 2097152: 2.176515e-04
0: Size 4194304: 8.152898e-04
0: Size 8388608: 2.526461e-03
0: Size 16777216: 4.216773e-03
0: Size 33554432: 7.530372e-03
0: Size 67108864: 1.414024e-02
0: Size 134217728: 2.743138e-02
0: Size 268435456: 5.568489e-02
0: Size 536870912: 1.256638e-01
0: 
0: Not measuring multi-proc intra-socket because same as intra-NUMA
0: On-Node, Off-Socket MultiProc Ping-Pong:
0: Active Procs: 1
0: Rank 0 sending to 32
0: Size 1: 2.898891e-06
0: Size 2: 2.880516e-06
0: Size 4: 2.843955e-06
0: Size 8: 2.832601e-06
0: Size 16: 2.618649e-06
0: Size 32: 3.172042e-06
0: Size 64: 3.390090e-06
0: Size 128: 3.550177e-06
0: Size 256: 4.665553e-06
0: Size 512: 5.410790e-06
0: Size 1024: 4.491335e-06
0: Size 2048: 4.451848e-06
0: Size 4096: 4.487640e-06
0: Size 8192: 4.572047e-06
0: Size 16384: 5.066640e-06
0: Size 32768: 5.698098e-06
0: Size 65536: 6.958898e-06
0: Size 131072: 9.369695e-06
0: Size 262144: 1.414852e-05
0: Size 524288: 2.768919e-05
0: Size 1048576: 6.069354e-05
0: Size 2097152: 1.151205e-04
0: Size 4194304: 2.228955e-04
0: Size 8388608: 4.418911e-04
0: Size 16777216: 8.393177e-04
0: Size 33554432: 3.753291e-03
0: Size 67108864: 6.915065e-03
0: Size 134217728: 1.308910e-02
0: Size 268435456: 2.565840e-02
0: Size 536870912: 5.114705e-02
0: 
0: Active Procs: 2
0: Rank 0 sending to 32
0: Size 1: 3.085758e-06
0: Size 2: 3.113733e-06
0: Size 4: 3.098468e-06
0: Size 8: 3.096961e-06
0: Size 16: 3.076989e-06
0: Size 32: 3.272988e-06
0: Size 64: 3.532335e-06
0: Size 128: 3.595349e-06
0: Size 256: 4.805863e-06
0: Size 512: 5.562536e-06
0: Size 1024: 4.631713e-06
0: Size 2048: 4.660708e-06
0: Size 4096: 4.746912e-06
0: Size 8192: 5.140969e-06
0: Size 16384: 6.096183e-06
0: Size 32768: 6.969455e-06
0: Size 65536: 8.349263e-06
0: Size 131072: 1.122001e-05
0: Size 262144: 1.700034e-05
0: Size 524288: 3.120140e-05
0: Size 1048576: 6.171208e-05
0: Size 2097152: 1.265287e-04
0: Size 4194304: 2.270975e-04
0: Size 8388608: 7.674372e-04
0: Size 16777216: 2.357182e-03
0: Size 33554432: 4.294500e-03
0: Size 67108864: 7.783340e-03
0: Size 134217728: 1.931341e-02
0: Size 268435456: 4.778440e-02
0: Size 536870912: 9.501437e-02
0: 
0: Active Procs: 4
0: Rank 0 sending to 32
0: Size 1: 3.083088e-06
0: Size 2: 3.107107e-06
0: Size 4: 3.100898e-06
0: Size 8: 3.094648e-06
0: Size 16: 3.082043e-06
0: Size 32: 3.276408e-06
0: Size 64: 3.555989e-06
0: Size 128: 3.634923e-06
0: Size 256: 4.800102e-06
0: Size 512: 5.561694e-06
0: Size 1024: 4.853318e-06
0: Size 2048: 4.876673e-06
0: Size 4096: 4.891357e-06
0: Size 8192: 5.501960e-06
0: Size 16384: 6.783525e-06
0: Size 32768: 7.610825e-06
0: Size 65536: 8.943445e-06
0: Size 131072: 1.166928e-05
0: Size 262144: 1.765262e-05
0: Size 524288: 3.144662e-05
0: Size 1048576: 6.212196e-05
0: Size 2097152: 1.177481e-04
0: Size 4194304: 3.479871e-04
0: Size 8388608: 1.388853e-03
0: Size 16777216: 3.274854e-03
0: Size 33554432: 6.634734e-03
0: Size 67108864: 1.469783e-02
0: Size 134217728: 2.980611e-02
0: Size 268435456: 8.223890e-02
0: Size 536870912: 1.660221e-01
0: 
0: Active Procs: 8
0: Rank 0 sending to 32
0: Size 1: 2.777117e-06
0: Size 2: 2.797772e-06
0: Size 4: 2.788640e-06
0: Size 8: 2.786057e-06
0: Size 16: 2.791674e-06
0: Size 32: 2.939672e-06
0: Size 64: 3.157572e-06
0: Size 128: 3.238578e-06
0: Size 256: 4.424283e-06
0: Size 512: 5.162760e-06
0: Size 1024: 4.620720e-06
0: Size 2048: 4.795090e-06
0: Size 4096: 4.833929e-06
0: Size 8192: 5.297110e-06
0: Size 16384: 6.539177e-06
0: Size 32768: 7.386903e-06
0: Size 65536: 8.749725e-06
0: Size 131072: 1.139416e-05
0: Size 262144: 1.652347e-05
0: Size 524288: 3.140469e-05
0: Size 1048576: 8.406924e-05
0: Size 2097152: 1.812210e-04
0: Size 4194304: 8.676697e-04
0: Size 8388608: 2.842298e-03
0: Size 16777216: 5.874211e-03
0: Size 33554432: 1.265158e-02
0: Size 67108864: 2.472099e-02
0: Size 134217728: 5.357028e-02
0: Size 268435456: 1.485454e-01
0: Size 536870912: 2.970511e-01
0: 
0: Active Procs: 16
0: Rank 0 sending to 32
0: Size 1: 2.968767e-06
0: Size 2: 2.929977e-06
0: Size 4: 2.928009e-06
0: Size 8: 2.943151e-06
0: Size 16: 2.778393e-06
0: Size 32: 2.923601e-06
0: Size 64: 3.177236e-06
0: Size 128: 3.253521e-06
0: Size 256: 4.672806e-06
0: Size 512: 5.190949e-06
0: Size 1024: 4.597623e-06
0: Size 2048: 4.689550e-06
0: Size 4096: 4.776021e-06
0: Size 8192: 5.511255e-06
0: Size 16384: 6.512567e-06
0: Size 32768: 7.324414e-06
0: Size 65536: 8.677104e-06
0: Size 131072: 9.773500e-06
0: Size 262144: 1.628512e-05
0: Size 524288: 3.142476e-05
0: Size 1048576: 1.089124e-04
0: Size 2097152: 2.171447e-04
0: Size 4194304: 1.471500e-03
0: Size 8388608: 5.122200e-03
0: Size 16777216: 1.064887e-02
0: Size 33554432: 2.234960e-02
0: Size 67108864: 4.742474e-02
0: Size 134217728: 1.050117e-01
0: Size 268435456: 3.158610e-01
0: Size 536870912: 6.256607e-01
0: 
0: Active Procs: 32
0: Rank 0 sending to 32
0: Size 1: 3.876025e-06
0: Size 2: 3.822567e-06
0: Size 4: 3.794192e-06
0: Size 8: 3.790528e-06
0: Size 16: 3.606351e-06
0: Size 32: 4.005372e-06
0: Size 64: 4.237674e-06
0: Size 128: 4.288337e-06
0: Size 256: 6.251537e-06
0: Size 512: 6.439238e-06
0: Size 1024: 5.730206e-06
0: Size 2048: 5.788117e-06
0: Size 4096: 5.792844e-06
0: Size 8192: 5.927103e-06
0: Size 16384: 7.302427e-06
0: Size 32768: 8.084504e-06
0: Size 65536: 9.425580e-06
0: Size 131072: 1.212384e-05
0: Size 262144: 1.910235e-05
0: Size 524288: 3.674034e-05
0: Size 1048576: 1.318141e-04
0: Size 2097152: 2.668475e-04
0: Size 4194304: 1.467186e-03
0: Size 8388608: 5.547126e-03
0: Size 16777216: 1.098958e-02
0: Size 33554432: 2.288102e-02
0: Size 67108864: 4.922052e-02
0: Size 134217728: 1.023918e-01
0: Size 268435456: 3.136915e-01
0: Size 536870912: 6.272961e-01
0: 
0: Off-Node MultiProc Ping-Pong:
0: Active Procs: 1
0: Rank 0 sending to 64
0: Size 1: 4.433159e-06
0: Size 2: 4.419990e-06
0: Size 4: 4.501914e-06
0: Size 8: 4.475876e-06
0: Size 16: 4.069625e-06
0: Size 32: 4.628141e-06
0: Size 64: 4.899412e-06
0: Size 128: 5.239778e-06
0: Size 256: 6.046344e-06
0: Size 512: 7.647363e-06
0: Size 1024: 5.997676e-06
0: Size 2048: 5.962981e-06
0: Size 4096: 5.957561e-06
0: Size 8192: 6.074809e-06
0: Size 16384: 6.363926e-06
0: Size 32768: 7.066133e-06
0: Size 65536: 8.327682e-06
0: Size 131072: 1.067883e-05
0: Size 262144: 1.541484e-05
0: Size 524288: 2.866149e-05
0: Size 1048576: 6.246952e-05
0: Size 2097152: 1.174278e-04
0: Size 4194304: 2.263788e-04
0: Size 8388608: 4.449233e-04
0: Size 16777216: 8.663790e-04
0: Size 33554432: 4.175921e-03
0: Size 67108864: 8.597464e-03
0: Size 134217728: 1.587399e-02
0: Size 268435456: 3.199288e-02
0: Size 536870912: 6.443299e-02
0: 
0: Active Procs: 2
0: Rank 0 sending to 64
0: Size 1: 4.313933e-06
0: Size 2: 4.326999e-06
0: Size 4: 4.319406e-06
0: Size 8: 4.327108e-06
0: Size 16: 4.252434e-06
0: Size 32: 4.487770e-06
0: Size 64: 4.734375e-06
0: Size 128: 4.911208e-06
0: Size 256: 6.209118e-06
0: Size 512: 7.202590e-06
0: Size 1024: 6.087166e-06
0: Size 2048: 6.093130e-06
0: Size 4096: 6.110947e-06
0: Size 8192: 6.599981e-06
0: Size 16384: 8.092688e-06
0: Size 32768: 8.917711e-06
0: Size 65536: 1.033267e-05
0: Size 131072: 1.311573e-05
0: Size 262144: 2.059703e-05
0: Size 524288: 3.640063e-05
0: Size 1048576: 6.358052e-05
0: Size 2097152: 1.189185e-04
0: Size 4194304: 3.115116e-04
0: Size 8388608: 7.010698e-04
0: Size 16777216: 1.689091e-03
0: Size 33554432: 4.921071e-03
0: Size 67108864: 9.429223e-03
0: Size 134217728: 1.891123e-02
0: Size 268435456: 5.304405e-02
0: Size 536870912: 1.053948e-01
0: 
0: Active Procs: 4
0: Rank 0 sending to 64
0: Size 1: 4.267875e-06
0: Size 2: 4.289396e-06
0: Size 4: 4.285328e-06
0: Size 8: 4.303387e-06
0: Size 16: 4.207616e-06
0: Size 32: 4.432051e-06
0: Size 64: 4.687400e-06
0: Size 128: 4.826282e-06
0: Size 256: 6.156256e-06
0: Size 512: 7.135899e-06
0: Size 1024: 6.182338e-06
0: Size 2048: 6.260203e-06
0: Size 4096: 6.360330e-06
0: Size 8192: 6.905264e-06
0: Size 16384: 8.102469e-06
0: Size 32768: 8.925281e-06
0: Size 65536: 1.025726e-05
0: Size 131072: 1.316801e-05
0: Size 262144: 2.075762e-05
0: Size 524288: 3.709983e-05
0: Size 1048576: 6.595982e-05
0: Size 2097152: 1.215331e-04
0: Size 4194304: 3.779232e-04
0: Size 8388608: 1.873500e-03
0: Size 16777216: 3.455076e-03
0: Size 33554432: 7.321072e-03
0: Size 67108864: 1.627462e-02
0: Size 134217728: 3.351886e-02
0: Size 268435456: 8.854130e-02
0: Size 536870912: 1.749514e-01
0: 
0: Active Procs: 8
0: Rank 0 sending to 64
0: Size 1: 4.313470e-06
0: Size 2: 4.331115e-06
0: Size 4: 4.332321e-06
0: Size 8: 4.334775e-06
0: Size 16: 4.245361e-06
0: Size 32: 4.491957e-06
0: Size 64: 4.734391e-06
0: Size 128: 4.646439e-06
0: Size 256: 5.793250e-06
0: Size 512: 6.701317e-06
0: Size 1024: 6.078749e-06
0: Size 2048: 6.113429e-06
0: Size 4096: 6.064538e-06
0: Size 8192: 6.669863e-06
0: Size 16384: 7.885901e-06
0: Size 32768: 8.933020e-06
0: Size 65536: 1.028490e-05
0: Size 131072: 1.313384e-05
0: Size 262144: 1.986162e-05
0: Size 524288: 3.615429e-05
0: Size 1048576: 8.704744e-05
0: Size 2097152: 1.909473e-04
0: Size 4194304: 1.038087e-03
0: Size 8388608: 3.422466e-03
0: Size 16777216: 7.362201e-03
0: Size 33554432: 1.459160e-02
0: Size 67108864: 2.980219e-02
0: Size 134217728: 6.158759e-02
0: Size 268435456: 1.755228e-01
0: Size 536870912: 3.562956e-01
0: 
0: Active Procs: 16
0: Rank 0 sending to 64
0: Size 1: 4.090718e-06
0: Size 2: 4.090768e-06
0: Size 4: 4.084313e-06
0: Size 8: 4.093147e-06
0: Size 16: 4.002146e-06
0: Size 32: 4.192454e-06
0: Size 64: 4.435124e-06
0: Size 128: 4.519943e-06
0: Size 256: 6.025190e-06
0: Size 512: 6.753917e-06
0: Size 1024: 5.919488e-06
0: Size 2048: 6.046120e-06
0: Size 4096: 6.223539e-06
0: Size 8192: 6.745965e-06
0: Size 16384: 8.007950e-06
0: Size 32768: 8.850920e-06
0: Size 65536: 1.049903e-05
0: Size 131072: 1.316860e-05
0: Size 262144: 2.006931e-05
0: Size 524288: 3.739699e-05
0: Size 1048576: 1.287148e-04
0: Size 2097152: 2.587375e-04
0: Size 4194304: 1.363331e-03
0: Size 8388608: 4.793544e-03
0: Size 16777216: 9.041446e-03
0: Size 33554432: 1.739108e-02
0: Size 67108864: 3.470775e-02
0: Size 134217728: 7.088957e-02
0: Size 268435456: 2.030096e-01
0: Size 536870912: 4.044778e-01
0: 
0: Active Procs: 32
0: Rank 0 sending to 64
0: Size 1: 4.072203e-06
0: Size 2: 4.050696e-06
0: Size 4: 4.061660e-06
0: Size 8: 4.055500e-06
0: Size 16: 3.982624e-06
0: Size 32: 4.185585e-06
0: Size 64: 4.430900e-06
0: Size 128: 4.545692e-06
0: Size 256: 5.932998e-06
0: Size 512: 6.889502e-06
0: Size 1024: 6.647977e-06
0: Size 2048: 6.650778e-06
0: Size 4096: 6.542756e-06
0: Size 8192: 7.044769e-06
0: Size 16384: 7.977609e-06
0: Size 32768: 8.856184e-06
0: Size 65536: 1.020902e-05
0: Size 131072: 1.315180e-05
0: Size 262144: 2.006853e-05
0: Size 524288: 3.769645e-05
0: Size 1048576: 1.324967e-04
0: Size 2097152: 2.562034e-04
0: Size 4194304: 1.513495e-03
0: Size 8388608: 5.718412e-03
0: Size 16777216: 1.115878e-02
0: Size 33554432: 2.278267e-02
0: Size 67108864: 4.989020e-02
0: Size 134217728: 1.025111e-01
0: Size 268435456: 3.070387e-01
0: Size 536870912: 6.101421e-01
0: 
0: Active Procs: 64
0: Rank 0 sending to 64
0: Size 1: 5.055091e-06
0: Size 2: 5.030071e-06
0: Size 4: 5.026202e-06
0: Size 8: 4.997796e-06
0: Size 16: 5.033575e-06
0: Size 32: 5.038097e-06
0: Size 64: 5.053891e-06
0: Size 128: 6.115968e-06
0: Size 256: 6.441312e-06
0: Size 512: 6.868190e-06
0: Size 1024: 6.631669e-06
0: Size 2048: 6.865668e-06
0: Size 4096: 7.567026e-06
0: Size 8192: 9.609556e-06
0: Size 16384: 1.730119e-05
0: Size 32768: 3.408389e-05
0: Size 65536: 6.782706e-05
0: Size 131072: 1.422996e-04
0: Size 262144: 2.724156e-04
0: Size 524288: 5.439985e-04
0: Size 1048576: 1.086137e-03
0: Size 2097152: 2.187144e-03
0: Size 4194304: 4.556178e-03
0: Size 8388608: 8.973776e-03
0: Size 16777216: 1.746424e-02
0: Size 33554432: 3.466832e-02
0: Size 67108864: 6.945563e-02
0: Size 134217728: 1.397461e-01
0: Size 268435456: 2.817428e-01
0: Size 536870912: 5.740081e-01
0: 
0: On-NUMA MultiProc Ping-Pong, All NUMAs Active:
0: Active Procs: 1
0: Rank 0 sending to 8
0: Size 1: 2.779960e-06
0: Size 2: 2.767726e-06
0: Size 4: 2.730547e-06
0: Size 8: 2.741762e-06
0: Size 16: 2.640883e-06
0: Size 32: 3.031481e-06
0: Size 64: 3.278001e-06
0: Size 128: 3.442282e-06
0: Size 256: 4.760739e-06
0: Size 512: 5.524422e-06
0: Size 1024: 4.832111e-06
0: Size 2048: 4.821187e-06
0: Size 4096: 4.769627e-06
0: Size 8192: 4.982215e-06
0: Size 16384: 5.399103e-06
0: Size 32768: 6.322601e-06
0: Size 65536: 7.579057e-06
0: Size 131072: 9.970739e-06
0: Size 262144: 1.473876e-05
0: Size 524288: 2.736787e-05
0: Size 1048576: 6.103961e-05
0: Size 2097152: 1.158035e-04
0: Size 4194304: 2.268135e-04
0: Size 8388608: 5.992742e-04
0: Size 16777216: 1.774846e-03
0: Size 33554432: 3.886724e-03
0: Size 67108864: 7.366617e-03
0: Size 134217728: 1.374306e-02
0: Size 268435456: 2.709904e-02
