0: CPU Microbenchmarks:
0: Inter-CPU Microbenchmarks will be run with the following:
0: # Processes per NUMA: 18
0: # Processes per socket: 18
0: # Processes per node: 72
0: # of nodes: 2
0: If these are incorrect, edit the defines at the top of benchmarks/microbenchmarks.cpp
0: intra-socket tests will not be run because there is only one NUMA per socket.  The timings will be gathered in inter-NUMA tests.
0: 
0: 
0: Running standard ping-pongs
0: 
0: On-NUMA Ping-Pong:
0: Size 16384: 4.082935e-06
0: Size 32768: 4.550081e-06
0: Size 65536: 5.707559e-06
0: Size 131072: 8.003139e-06
0: Size 262144: 1.249050e-05
0: Size 524288: 2.513434e-05
0: Size 1048576: 5.861472e-05
0: Size 2097152: 1.128549e-04
0: Size 4194304: 2.782492e-04
0: Size 8388608: 9.660132e-04
0: Size 16777216: 1.723854e-03
0: Size 33554432: 3.318866e-03
0: Size 67108864: 6.374981e-03
0: Size 134217728: 1.209340e-02
0: Size 268435456: 2.467950e-02
0: Size 536870912: 4.783913e-02
0: 
0: Active Procs: 8
0: Rank 0 sending to 9
0: Size 1: 1.491107e-06
0: Size 2: 1.506986e-06
0: Size 4: 1.510148e-06
0: Size 8: 1.511104e-06
0: Size 16: 1.430822e-06
0: Size 32: 1.586168e-06
0: Size 64: 1.664582e-06
0: Size 128: 1.619873e-06
0: Size 256: 2.508755e-06
0: Size 512: 2.826349e-06
0: Size 1024: 3.004722e-06
0: Size 2048: 3.052865e-06
0: Size 4096: 3.120075e-06
0: Size 8192: 3.217153e-06
0: Size 16384: 4.147681e-06
0: Size 32768: 4.533127e-06
0: Size 65536: 5.684320e-06
0: Size 131072: 8.063781e-06
0: Size 262144: 1.257403e-05
0: Size 524288: 2.512941e-05
0: Size 1048576: 5.881939e-05
0: Size 2097152: 1.136088e-04
0: Size 4194304: 4.999856e-04
0: Size 8388608: 1.472153e-03
0: Size 16777216: 2.487576e-03
0: Size 33554432: 4.289114e-03
0: Size 67108864: 8.161623e-03
0: Size 134217728: 1.641182e-02
0: Size 268435456: 3.435334e-02
0: Size 536870912: 7.337585e-02
0: 
0: Active Procs: 9
0: Rank 0 sending to 9
0: Size 1: 1.505045e-06
0: Size 2: 1.509637e-06
0: Size 4: 1.482280e-06
0: Size 8: 1.501372e-06
0: Size 16: 1.463528e-06
0: Size 32: 1.595939e-06
0: Size 64: 1.672996e-06
0: Size 128: 1.632978e-06
0: Size 256: 2.468941e-06
0: Size 512: 2.724753e-06
0: Size 1024: 2.960481e-06
0: Size 2048: 3.040671e-06
0: Size 4096: 3.091889e-06
0: Size 8192: 3.222267e-06
