0: CPU Microbenchmarks:
0: Inter-CPU Microbenchmarks will be run with the following:
0: # Processes per NUMA: 18
0: # Processes per socket: 18
0: # Processes per node: 72
0: # of nodes: 2
0: If these are incorrect, edit the defines at the top of benchmarks/microbenchmarks.cpp
0: intra-socket tests will not be run because there is only one NUMA per socket.  The timings will be gathered in inter-NUMA tests.
0: 
0: 
0: Running standard ping-pongs
0: 
0: On-NUMA Ping-Pong:
0: Size 16384: 4.081259e-06
0: Size 32768: 4.220019e-06
0: Size 65536: 5.315519e-06
0: Size 131072: 7.603298e-06
0: Size 262144: 1.208486e-05
0: Size 524288: 2.538589e-05
0: Size 1048576: 5.877756e-05
0: Size 2097152: 1.129767e-04
0: Size 4194304: 2.654831e-04
0: Size 8388608: 9.634675e-04
0: Size 16777216: 1.813566e-03
0: Size 33554432: 3.294834e-03
0: Size 67108864: 6.398515e-03
0: Size 134217728: 1.258982e-02
0: Size 268435456: 2.513980e-02
0: Size 536870912: 5.219789e-02
0: 
0: Active Procs: 8
0: Rank 0 sending to 9
0: Size 1: 1.706163e-06
0: Size 2: 1.693231e-06
0: Size 4: 1.640480e-06
0: Size 8: 1.591431e-06
0: Size 16: 1.585693e-06
0: Size 32: 1.655604e-06
0: Size 64: 1.768878e-06
0: Size 128: 1.720175e-06
0: Size 256: 2.723728e-06
0: Size 512: 2.884677e-06
0: Size 1024: 2.866648e-06
0: Size 2048: 2.938359e-06
0: Size 4096: 2.987876e-06
0: Size 8192: 3.193803e-06
0: Size 16384: 4.307320e-06
0: Size 32768: 4.174093e-06
0: Size 65536: 5.281517e-06
0: Size 131072: 7.561569e-06
0: Size 262144: 1.251592e-05
0: Size 524288: 2.588887e-05
0: Size 1048576: 5.904252e-05
0: Size 2097152: 1.137391e-04
0: Size 4194304: 4.953531e-04
0: Size 8388608: 1.493493e-03
0: Size 16777216: 2.500278e-03
0: Size 33554432: 4.234666e-03
0: Size 67108864: 8.205193e-03
0: Size 134217728: 1.616254e-02
0: Size 268435456: 3.499389e-02
0: Size 536870912: 7.355425e-02
0: 
0: Active Procs: 9
0: Rank 0 sending to 9
0: Size 1: 1.680645e-06
0: Size 2: 1.682635e-06
0: Size 4: 1.676566e-06
0: Size 8: 1.685372e-06
0: Size 16: 1.657345e-06
0: Size 32: 1.773772e-06
0: Size 64: 1.906355e-06
0: Size 128: 1.859939e-06
0: Size 256: 2.697431e-06
0: Size 512: 2.905392e-06
0: Size 1024: 2.888548e-06
0: Size 2048: 2.969406e-06
0: Size 4096: 3.014004e-06
