0: CPU Microbenchmarks:
0: Inter-CPU Microbenchmarks will be run with the following:
0: # Processes per NUMA: 18
0: # Processes per socket: 18
0: # Processes per node: 72
0: # of nodes: 2
0: If these are incorrect, edit the defines at the top of benchmarks/microbenchmarks.cpp
0: intra-socket tests will not be run because there is only one NUMA per socket.  The timings will be gathered in inter-NUMA tests.
0: 
0: 
0: Running standard ping-pongs
0: 
0: On-NUMA Ping-Pong:
0: Size 16384: 3.980311e-06
0: Size 32768: 4.238417e-06
0: Size 65536: 5.360662e-06
0: Size 131072: 7.569198e-06
0: Size 262144: 1.210780e-05
0: Size 524288: 2.666760e-05
0: Size 1048576: 5.930211e-05
0: Size 2097152: 1.135943e-04
0: Size 4194304: 2.736378e-04
0: Size 8388608: 9.767815e-04
0: Size 16777216: 1.764885e-03
0: Size 33554432: 3.315229e-03
0: Size 67108864: 6.561757e-03
0: Size 134217728: 1.261481e-02
0: Size 268435456: 2.467585e-02
0: Size 536870912: 4.854571e-02
0: 
0: Active Procs: 8
0: Rank 0 sending to 9
0: Size 1: 2.028096e-06
0: Size 2: 2.029068e-06
0: Size 4: 2.021276e-06
0: Size 8: 2.005427e-06
0: Size 16: 2.007184e-06
0: Size 32: 2.029605e-06
0: Size 64: 2.188724e-06
0: Size 128: 2.066809e-06
0: Size 256: 3.250063e-06
0: Size 512: 3.442594e-06
0: Size 1024: 3.131717e-06
0: Size 2048: 3.204106e-06
0: Size 4096: 3.209846e-06
0: Size 8192: 3.278060e-06
0: Size 16384: 3.621273e-06
0: Size 32768: 3.981541e-06
0: Size 65536: 5.119134e-06
0: Size 131072: 7.384166e-06
0: Size 262144: 1.200122e-05
0: Size 524288: 2.684053e-05
0: Size 1048576: 5.953633e-05
0: Size 2097152: 1.139778e-04
0: Size 4194304: 4.956033e-04
0: Size 8388608: 1.521795e-03
0: Size 16777216: 2.481856e-03
0: Size 33554432: 4.277116e-03
0: Size 67108864: 8.213537e-03
0: Size 134217728: 1.663458e-02
0: Size 268435456: 3.375844e-02
0: Size 536870912: 7.917817e-02
0: 
0: Active Procs: 9
0: Rank 0 sending to 9
0: Size 1: 2.031151e-06
0: Size 2: 2.031855e-06
0: Size 4: 2.022112e-06
0: Size 8: 2.022643e-06
0: Size 16: 2.024384e-06
0: Size 32: 2.056949e-06
0: Size 64: 2.165900e-06
0: Size 128: 2.092097e-06
0: Size 256: 3.212602e-06
0: Size 512: 3.342569e-06
0: Size 1024: 3.161142e-06
0: Size 2048: 3.226256e-06
0: Size 4096: 3.268775e-06
0: Size 8192: 3.480143e-06
0: Size 16384: 3.983141e-06
0: Size 32768: 3.987137e-06
0: Size 65536: 5.109575e-06
0: Size 131072: 7.372625e-06
0: Size 262144: 1.223977e-05
0: Size 524288: 2.681937e-05
0: Size 1048576: 5.956379e-05
0: Size 2097152: 1.162812e-04
0: Size 4194304: 6.026523e-04
0: Size 8388608: 1.715820e-03
0: Size 16777216: 2.731351e-03
0: Size 33554432: 5.018116e-03
0: Size 67108864: 9.760052e-03
0: Size 134217728: 2.050837e-02
0: Size 268435456: 4.280005e-02
0: Size 536870912: 8.903115e-02
0: 
0: Not measuring multi-proc intra-socket because same as intra-NUMA
0: On-Node, Off-Socket MultiProc Ping-Pong:
0: Active Procs: 1
0: Rank 0 sending to 36
0: Size 1: 3.847228e-06
0: Size 2: 3.877431e-06
0: Size 4: 3.864012e-06
0: Size 8: 3.886441e-06
0: Size 16: 3.722095e-06
0: Size 32: 4.067064e-06
0: Size 64: 4.274362e-06
0: Size 128: 4.272524e-06
0: Size 256: 5.939091e-06
0: Size 512: 6.483258e-06
0: Size 1024: 6.076661e-06
0: Size 2048: 5.931208e-06
0: Size 4096: 5.847183e-06
0: Size 8192: 5.453265e-06
0: Size 16384: 5.877809e-06
0: Size 32768: 6.434608e-06
0: Size 65536: 7.549469e-06
0: Size 131072: 9.959775e-06
0: Size 262144: 1.451260e-05
0: Size 524288: 2.814913e-05
0: Size 1048576: 6.172811e-05
0: Size 2097152: 1.157211e-04
0: Size 4194304: 2.235332e-04
0: Size 8388608: 4.443119e-04
0: Size 16777216: 8.487702e-04
0: Size 33554432: 4.470005e-03
0: Size 67108864: 8.438284e-03
0: Size 134217728: 1.567360e-02
0: Size 268435456: 3.121285e-02
0: Size 536870912: 6.313929e-02
0: 
0: Active Procs: 2
0: Rank 0 sending to 36
0: Size 1: 4.003882e-06
0: Size 2: 4.018074e-06
0: Size 4: 3.920361e-06
0: Size 8: 3.972466e-06
0: Size 16: 3.808431e-06
0: Size 32: 4.145181e-06
0: Size 64: 4.364958e-06
0: Size 128: 4.415630e-06
0: Size 256: 6.246699e-06
0: Size 512: 6.595320e-06
0: Size 1024: 6.450942e-06
0: Size 2048: 6.468937e-06
0: Size 4096: 6.718103e-06
0: Size 8192: 6.789371e-06
0: Size 16384: 7.140540e-06
0: Size 32768: 7.835012e-06
0: Size 65536: 9.044067e-06
0: Size 131072: 1.126248e-05
0: Size 262144: 1.562203e-05
0: Size 524288: 2.846736e-05
0: Size 1048576: 6.207045e-05
0: Size 2097152: 1.168277e-04
0: Size 4194304: 2.251893e-04
0: Size 8388608: 7.367753e-04
0: Size 16777216: 2.622225e-03
0: Size 33554432: 5.131811e-03
0: Size 67108864: 1.041166e-02
0: Size 134217728: 2.436032e-02
0: Size 268435456: 5.210924e-02
0: Size 536870912: 1.040913e-01
0: 
0: Active Procs: 4
0: Rank 0 sending to 36
0: Size 1: 4.214216e-06
